selected_candidate_variant,selected_candidate_method,selected_policy_family,selected_policy_label,n_selected,mean_selected_proxy_acc,mean_selected_proxy_score
context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,other policy: context_gap_safe_class_balanced_readout_calibrated,16,0.8908378092447916,1.4263689780549933
context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,RC1b guarded context-gap,6,0.8830392795138889,1.4985089721945906
proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,proto-first no-repair / copied global head,3,0.897578125,1.4926219976048785
