seed,task_id,host,n_batches,mean_route_weight,mean_mutualistic_gain,mean_memory_risk,mean_expected_update_importance,mean_observed_update_allocation,mean_lsa_pearson,mean_lsa_cosine,suspicious_rate
0,0,H1,152,0.0027066827049709806,0.001102863019143155,0.0,0.0024308770259544635,0.002448598329835256,0.9188591473199201,0.9444799926214373,0.0
0,0,H2,152,0.00358011286643408,0.001237198822298293,0.0,0.003066989707560264,0.00295024898773524,0.9188591473199201,0.9444799926214373,0.0
0,0,H3,152,0.3926478515281097,0.3235378458944893,0.0,0.3845383284852797,0.31597537946630655,0.9188591473199201,0.9444799926214373,0.0
0,0,H4,152,0.590720212479171,0.553045759738489,0.0,0.6005925861192073,0.6582944762245563,0.9188591473199201,0.9444799926214373,0.0
0,0,H5,152,0.010345148086535597,0.005435759290438203,0.0,0.009371218661998337,0.02033129699156667,0.9188591473199201,0.9444799926214373,0.0
0,1,H3,152,0.01048221960311486,0.002396684007369105,0.010482219537934661,0.008572122056040193,0.2356649631283073,0.917089914126172,0.9317682268273387,1.0
0,1,H4,152,0.988447937526201,0.9862538067239237,0.9884479393760335,0.9905612956287453,0.7555656011965421,0.917089914126172,0.9317682268273387,1.0
0,1,H1,152,4.82305864968686e-05,5.780240339355243e-06,4.8230586502230134e-05,3.769030105105986e-05,0.00038702116248858545,0.917089914126172,0.9317682268273387,0.0
0,1,H2,152,0.0004068729046951459,-1.1987886770791172e-05,0.00040687290560457263,0.0003097922952417528,0.005457946080280726,0.917089914126172,0.9317682268273387,0.0
0,1,H5,152,0.000614737604074004,0.00022341053982810402,0.0006147375939250217,0.0005190997189216995,0.002924468432381323,0.917089914126172,0.9317682268273387,0.0
0,2,H4,152,0.3865671679377556,0.14811716663080565,0.38656716685442805,0.349833118952057,0.49041844840610804,0.5574673617514705,0.7553290571546518,0.7697368421052632
0,2,H3,152,0.14933600424831783,0.0365640014179906,0.14933600402831726,0.13061733551727583,0.2730541668778917,0.5574673617514705,0.7553290571546518,0.39473684210526316
0,2,H2,152,0.44032769345434836,0.3907072126843012,0.4403276939279434,0.4964154452237317,0.20738660517904772,0.5574673617514705,0.7553290571546518,0.34868421052631576
