seed,after_task,task_id,ablation,acc,delta_vs_none,n_items,audit_only,specialization_audit_target_variant,specialization_audit_target_method,specialization_audit_target_policy_family,specialization_audit_model_source,specialization_audit_aligned_to_selected_candidate,specialization_audit_diagnostic_only,host_id
1,4,0,ablate_host3,0.9453125,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,3.0
1,4,0,ablate_host4,0.001953125,-0.943359375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,4.0
1,4,1,none,0.822265625,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,
1,4,1,ablate_host0,0.822265625,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.0
1,4,1,ablate_host1,0.0,-0.822265625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,1.0
1,4,1,ablate_host2,0.82421875,0.001953125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,2.0
1,4,1,ablate_host3,0.826171875,0.00390625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,3.0
1,4,1,ablate_host4,0.822265625,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,4.0
1,4,2,none,0.88671875,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,
1,4,2,ablate_host0,0.0,-0.88671875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.0
1,4,2,ablate_host1,0.88671875,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,1.0
1,4,2,ablate_host2,0.8984375,0.01171875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,2.0
1,4,2,ablate_host3,0.88671875,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,3.0
1,4,2,ablate_host4,0.88671875,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,4.0
1,4,3,none,0.958984375,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,
1,4,3,ablate_host0,0.958984375,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.0
1,4,3,ablate_host1,0.9609375,0.001953125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,1.0
1,4,3,ablate_host2,0.95703125,-0.001953125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,2.0
1,4,3,ablate_host3,0.369140625,-0.58984375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,3.0
1,4,3,ablate_host4,0.958984375,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,4.0
1,4,4,none,0.939453125,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,
1,4,4,ablate_host0,0.85546875,-0.083984375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.0
1,4,4,ablate_host1,0.939453125,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,1.0
1,4,4,ablate_host2,0.47265625,-0.466796875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,2.0
1,4,4,ablate_host3,0.94140625,0.001953125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,3.0
1,4,4,ablate_host4,0.939453125,0.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,4.0
