epoch,dataset,run_mode,backbone_variant,feature_dim,train_epoch_loss,train_epoch_acc,train_items,val_loss,val_acc,val_items,test_loss,test_acc,test_items,diagnostic_only
17,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,0.1460442618727684,0.9484375,32000,0.40255536150932314,0.883125,8000,0.4142758155822754,0.8766,10000,True
18,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,0.14629718375205994,0.9474375,32000,0.4073487133383751,0.88175,8000,0.4199901526451111,0.8763,10000,True
19,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,0.14559060671925544,0.948875,32000,0.40981388676166536,0.87925,8000,0.4225171224117279,0.8759,10000,True
0,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.7042736067771912,0.7753125,16000,0.4531102705001831,0.84725,4000,0.4688006908416748,0.8444,5000,True
1,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.42214872097969053,0.8605625,16000,0.424203218460083,0.8545,4000,0.44601374473571775,0.8468,5000,True
2,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.3771350638866425,0.87325,16000,0.4201120855808258,0.853,4000,0.4439436526298523,0.8464,5000,True
3,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.3560218141078949,0.8809375,16000,0.38917307257652284,0.864,4000,0.4163140162944794,0.8558,5000,True
4,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.3401659137010574,0.8858125,16000,0.3842644143104553,0.86575,4000,0.41287805824279783,0.8556,5000,True
5,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.32866766226291655,0.8866875,16000,0.37868016773462293,0.869,4000,0.4069344660758972,0.8558,5000,True
6,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.3215976587533951,0.891,16000,0.39504479098320006,0.86225,4000,0.4245819613456726,0.8538,5000,True
7,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.3127518526315689,0.893125,16000,0.39143199944496154,0.86275,4000,0.42345709738731385,0.853,5000,True
8,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.30313224530220034,0.8935,16000,0.4005020717382431,0.86675,4000,0.4190157210350037,0.8584,5000,True
9,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.298082302570343,0.8955,16000,0.3937074295282364,0.863,4000,0.42796551628112794,0.8532,5000,True
10,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.30047170317173005,0.897875,16000,0.41128706216812133,0.85125,4000,0.441727672624588,0.8478,5000,True
11,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,0.29006158423423767,0.9015,16000,0.39000871443748475,0.86575,4000,0.41559290170669555,0.8572,5000,True
