epoch,dataset,run_mode,backbone_variant,feature_dim,total_parameters,trainable_parameters,train_epoch_loss,train_epoch_acc,train_items,val_loss,val_acc,val_items,test_loss,test_acc,test_items,diagnostic_only
14,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.4745245188474655,0.83228125,32000,0.43884541356563567,0.846875,8000,0.4417284126281738,0.8458,10000,True
15,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.4502552446126938,0.842875,32000,0.4312288008928299,0.848375,8000,0.43658822469711306,0.8495,10000,True
16,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.43212072539329527,0.84928125,32000,0.43511693286895753,0.850375,8000,0.4473517260551453,0.8448,10000,True
17,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.40883782744407654,0.8573125,32000,0.42253080928325654,0.852625,8000,0.4360038953781128,0.8479,10000,True
18,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.3936865637898445,0.86178125,32000,0.41815657901763914,0.852625,8000,0.431459832572937,0.8511,10000,True
19,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.3730928727388382,0.869625,32000,0.38057616329193117,0.8655,8000,0.3919257646560669,0.8666,10000,True
20,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.3582894231677055,0.87490625,32000,0.3627804125547409,0.874,8000,0.3755084716796875,0.8719,10000,True
21,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.34282157975435257,0.8805625,32000,0.3646425514817238,0.873875,8000,0.3792162178516388,0.8713,10000,True
22,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.33097384244203565,0.88375,32000,0.36507757198810575,0.873625,8000,0.3761853316783905,0.8706,10000,True
23,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.3206555674672127,0.88903125,32000,0.3500089321136475,0.879625,8000,0.36233641595840455,0.8777,10000,True
24,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.31187458217144015,0.89040625,32000,0.346415513753891,0.88175,8000,0.3573883430480957,0.878,10000,True
25,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.30338166576623915,0.89421875,32000,0.34318185031414034,0.881875,8000,0.3564311254024506,0.8787,10000,True
26,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.30417226934432984,0.8949375,32000,0.34270188534259793,0.882875,8000,0.3556735940933228,0.8793,10000,True
27,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.28885051494836805,0.899,32000,0.34224997532367707,0.884375,8000,0.3540875066757202,0.8797,10000,True
28,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.2896638225913048,0.8986875,32000,0.33909508216381073,0.88375,8000,0.35054198350906374,0.8801,10000,True
29,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.2889664015769958,0.8986875,32000,0.340404456615448,0.883125,8000,0.3527783052444458,0.8795,10000,True
0,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.9971278300285339,0.713,16000,0.6033867905139924,0.82175,4000,0.6142373882293701,0.813,5000,True
1,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.5220367906093597,0.8418125,16000,0.4873069367408752,0.84675,4000,0.5020026679992676,0.8406,5000,True
2,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.44830497884750364,0.8593125,16000,0.44916276597976684,0.85425,4000,0.4638957392692566,0.8454,5000,True
3,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.4129702731370926,0.865125,16000,0.42903792786598205,0.859,4000,0.4459353258132935,0.8522,5000,True
4,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.391147588968277,0.872375,16000,0.4142494921684265,0.862,4000,0.4303996323108673,0.8548,5000,True
5,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.37574030125141145,0.8773125,16000,0.4058434602022171,0.8645,4000,0.4259357846736908,0.853,5000,True
6,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.36525663328170777,0.8801875,16000,0.3984463231563568,0.8655,4000,0.4173418804168701,0.857,5000,True
7,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.3560932548046112,0.884,16000,0.39845955348014833,0.863,4000,0.41686065826416013,0.8578,5000,True
8,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.3512757751941681,0.8836875,16000,0.39385797214508056,0.86775,4000,0.41358853425979614,0.8598,5000,True
9,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.3468943513631821,0.8871875,16000,0.39327884328365326,0.866,4000,0.4126455895423889,0.8602,5000,True
10,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.34465548849105837,0.8871875,16000,0.39187675738334654,0.868,4000,0.4120610789299011,0.8588,5000,True
11,SplitCIFAR10,robust,resnet18_imagenet_frozen,512,11181642,5130,0.34307271456718447,0.88775,16000,0.39159607982635497,0.86825,4000,0.41175714783668516,0.8598,5000,True
